name,url,mode,contributed,fetch_ok,bytes,parsed,truncated,error
iyouhun_zb,https://www.iyouhun.com/tv/zb,enabled,True,True,609,6,False,
zbds_iptv4_txt,https://live.zbds.top/tv/iptv4.txt,enabled,True,True,66605,837,False,
guovin_all,https://raw.githubusercontent.com/Guovin/iptv-api/gd/output/result.m3u,enabled,True,True,422313,1694,False,
guovin_ipv4,https://raw.githubusercontent.com/Guovin/iptv-api/gd/output/ipv4/result.m3u,enabled,True,True,94354,421,False,
guovin_ipv6,https://raw.githubusercontent.com/Guovin/iptv-api/gd/output/ipv6/result.m3u,enabled,True,True,366747,1424,False,
suxuang_ipv4,https://raw.githubusercontent.com/suxuang/myIPTV/refs/heads/main/ipv4.m3u,enabled,True,True,268175,1209,False,
suxuang_ipv6,https://raw.githubusercontent.com/suxuang/myIPTV/refs/heads/main/ipv6.m3u,enabled,True,True,200521,853,False,
zbds_iptv4_m3u,https://live.zbds.top/tv/iptv4.m3u,enabled,True,True,107183,489,False,
burningc4_ipv4,https://raw.githubusercontent.com/BurningC4/Chinese-IPTV/master/TV-IPV4.m3u,enabled,True,True,8021,58,False,
vamoschuck_m3u,https://raw.githubusercontent.com/vamoschuck/TV/main/M3U,enabled,True,True,147124,788,False,
zbds_iptv6_txt,https://live.zbds.top/tv/iptv6.txt,enabled,True,True,268,2,False,
zbds_iptv6_m3u,https://live.zbds.top/tv/iptv6.m3u,enabled,True,True,282,1,False,
fanmingming_ipv6_raw,https://raw.githubusercontent.com/fanmingming/live/main/tv/m3u/ipv6.m3u,enabled,True,True,25215,82,False,
fanmingming_ipv6_mirror,https://live.fanmingming.cn/tv/m3u/ipv6.m3u,enabled,True,True,25215,82,False,
kimentanm_aptv,https://raw.githubusercontent.com/Kimentanm/aptv/master/m3u/iptv.m3u,enabled,True,True,21944,119,False,
bigbiggrandg_gather,https://raw.githubusercontent.com/BigBigGrandG/IPTV-URL/release/Gather.m3u,enabled,True,True,329793,1954,False,
yang_gather,https://raw.githubusercontent.com/YanG-1989/m3u/main/Gather.m3u,enabled,True,True,27353,127,False,
iptv_org_all,https://iptv-org.github.io/iptv/index.m3u,enabled,True,True,2764464,12792,False,
epg_cn,https://epg.pw/test_channels.m3u,enabled,True,True,1200262,3769,False,
epg_hk,https://epg.pw/test_channels_hong_kong.m3u,enabled,True,True,23423,73,False,
epg_mo,https://epg.pw/test_channels_macau.m3u,enabled,True,True,6134,19,False,
epg_tw,https://epg.pw/test_channels_taiwan.m3u,enabled,True,True,44219,127,False,
iptv_org_tw,https://iptv-org.github.io/iptv/countries/tw.m3u,enabled,True,True,4780,24,False,
epg_sg,https://epg.pw/test_channels_singapore.m3u,enabled,True,True,6642,21,False,
epg_my,https://epg.pw/test_channels_malaysia.m3u,enabled,True,True,9229,29,False,
free_tv_world,https://raw.githubusercontent.com/Free-TV/IPTV/master/playlist.m3u8,enabled,True,True,547809,2026,False,
mursor_yy,https://gongdian.top/tv/Mursor/yylunbo.m3u,enabled,True,True,101928,487,False,
mursor_bililive,https://gongdian.top/tv/Mursor/bililive.m3u,enabled,True,True,49623,250,False,
freetv_huya,https://live.freetv.top/huyayqk.m3u,recovery,False,False,0,0,False,TimeoutError('The read operation timed out')
freetv_douyu,https://live.freetv.top/douyuyqk.m3u,recovery,False,False,0,0,False,TimeoutError('The read operation timed out')
